Date,Year,Model,Revenue,Quantity Sold,Region,Country,Channel
1/1/2019,2019, Mercedes GLB,94654,2,Africa,Nigeria,Wholesale
1/1/2019,2019, Mercedes AMG C63 Coupe,111259,1,Africa,Kenya,Wholesale
2/1/2019,2019,Mercedes CLS Coupe,94881,3,South America,Chile,Wholesale
4/1/2019,2019, Mercedes GLB,35293,4,Asia,South Korea,Wholesale
4/1/2019,2019,Mercedes AMG CLA 45,76275,5,Asia,Japan,Wholesale
5/1/2019,2019, Mercedes EQB,74929,3,Asia,South Korea,Wholesale
6/1/2019,2019,Mercedes AMG GT 4-Door Coupe,82563,4,South America,Colombia,Dealership
7/1/2019,2019,Mercedes S-Class,71767,3,South America,Chile,Wholesale
7/1/2019,2019, Mercedes EQB,67202,4,Africa,Morocco,Wholesale
7/1/2019,2019,Mercedes EDQ Sedan,82195,5,Asia,Japan,Wholesale
8/1/2019,2019,Mercedes GLC Coupe,106309,3,Europe,Italy,Wholesale
8/1/2019,2019,Mercedes AMG C63 S,35983,4,Europe,Spain,Wholesale
8/1/2019,2019,Mercedes GLE Coupe,74863,1,South America,Peru,Dealership
9/1/2019,2019,Mercedes E-Class,59157,2,North America,Mexico,Dealership
9/1/2019,2019,Mercedes GLE Coupe,59493,4,North America,United States,Wholesale
10/1/2019,2019,Mercedes AMG E63 S,89019,4,Europe,Italy,Dealership
10/1/2019,2019,Mercedes AMG GT 4-Door Coupe,113748,4,North America,Mexico,Wholesale
10/1/2019,2019,Mercedes AMG GT 4-Door Coupe,68568,3,North America,Canada,Wholesale
11/1/2019,2019, Mercedes AMG C63 Coupe,118264,2,Europe,France,Wholesale
12/1/2019,2019,Mercedes GLA,78586,3,Europe,Spain,Wholesale
12/1/2019,2019, Mercedes AMG C63 Coupe,44063,4,North America,Mexico,Wholesale
12/1/2019,2019,Mercedes CLA Coupe,82810,4,South America,Argentina,Dealership
,,,,,,,
13/01/2019,2019, Mercedes AMG C63 Coupe,99626,2,Asia,Japan,Wholesale
13/01/2019,2019,Mercedes GLE,118393,1,North America,United States,Wholesale
14/01/2019,2019,Mercedes EDQ Sedan,93737,3,Asia,China,Dealership
15/01/2019,2019,Mercedes AMG GT 4-Door Coupe,101997,1,South America,Colombia,Wholesale
15/01/2019,2019,Mercedes GLA,107838,4,Africa,Kenya,Dealership
15/01/2019,2019,Mercedes CLS Coupe,53877,4,Asia,South Korea,Dealership
16/01/2019,2019,Mercedes EQE SUV,73420,5,South America,Brazil,Wholesale
16/01/2019,2019,Mercedes AMG CLA 45,112782,5,South America,Peru,Dealership
16/01/2019,2019,Mercedes EQE SUV,100875,1,Asia,China,Wholesale
16/01/2019,2019,Mercedes AMG SL 63,55094,5,Asia,India,Dealership
17/01/2019,2019,Mercedes GLE Coupe,104500,2,Europe,Spain,Wholesale
17/01/2019,2019,Mercedes AMG C63 S,60373,1,South America,Colombia,Wholesale
17/01/2019,2019,Mercedes AMG GT 4-Door Coupe,53898,5,Africa,Egypt,Wholesale
17/01/2019,2019,Mercedes CLA Coupe,77937,5,South America,Brazil,Dealership
,,,,,,,
18/01/2019,2019,Mercedes EQA,66388,2,Asia,China,Wholesale
18/01/2019,2019,Mercedes E-Class,118627,2,North America,Mexico,Dealership
18/01/2019,2019,Mercedes E-Class,112462,1,Africa,Egypt,Wholesale
19/01/2019,2019,Mercedes-Benz Kamloops,64030,3,Africa,Egypt,Dealership
19/01/2019,2019,Mercedes EQA,91913,2,South America,Argentina,Wholesale
19/01/2019,2019,Mercedes E-Class,53184,5,North America,Mexico,Dealership
19/01/2019,2019,Mercedes CLA Coupe,76721,1,Asia,Japan,Wholesale
,,,,,,,
19/01/2019,2019,Mercedes CLE Coupe,103236,3,Asia,Japan,Wholesale
,,,,,,,
20/01/2019,2019,Mercedes EQA,72296,1,Europe,Italy,Dealership
20/01/2019,2019, Mercedes AMG C63 Coupe,34286,5,South America,Chile,Dealership
21/01/2019,2019,Mercedes EQA,117156,3,South America,Colombia,Wholesale
21/01/2019,2019,Mercedes AMG GT 4-Door Coupe,73639,3,North America,Canada,Wholesale
21/01/2019,2019,Mercedes CLS Coupe,60431,2,South America,Argentina,Wholesale
21/01/2019,2019,Mercedes AMG E63 S,92363,4,Africa,Egypt,Dealership
21/01/2019,2019, Mercedes EQB,45072,5,Europe,Germany,Wholesale
21/01/2019,2019,Mercedes CLS Coupe,40916,4,Africa,South Africa,Wholesale
22/01/2019,2019,Mercedes S-Class,77369,5,South America,Colombia,Wholesale
22/01/2019,2019, Mercedes EQB,48946,1,North America,United States,Wholesale
23/01/2019,2019,Mercedes CLS Coupe,51863,4,South America,Peru,Dealership
23/01/2019,2019,Mercedes-Benz Kamloops,90064,3,Europe,Germany,Wholesale
24/01/2019,2019,Mercedes GLE,90656,2,Europe,France,Wholesale
24/01/2019,2019,Mercedes AMG GT 4-Door Coupe,53545,5,Europe,United Kingdom,Wholesale
24/01/2019,2019,Mercedes GLA,54019,2,Africa,Kenya,Wholesale
25/01/2019,2019,Mercedes AMG CLA 45,86625,5,Europe,Germany,Dealership
26/01/2019,2019,Mercedes E-Class,81701,3,North America,United States,Wholesale
27/01/2019,2019,Mercedes AMG CLA 45,57386,3,South America,Brazil,Wholesale
28/01/2019,2019,Mercedes S-Class,105769,3,Asia,India,Dealership
28/01/2019,2019, Mercedes GLB,47822,3,Africa,Kenya,Wholesale
28/01/2019,2019,Mercedes AMG CLA 45,105462,3,South America,Brazil,Wholesale
28/01/2019,2019,Mercedes AMG E63 S,70023,2,Europe,United Kingdom,Wholesale
28/01/2019,2019,Mercedes AMG C63 S,85878,1,Europe,France,Wholesale
29/01/2019,2019,Mercedes EQA,77984,4,South America,Argentina,Wholesale
